identifier,category,description
旋转回弹,Scene Effects,Free
旋转圆球,Scene Effects,Free
旋转抖动,Scene Effects,Free
旋转抖动_II,Scene Effects,Free
日进斗金,Scene Effects,Free
时尚涂鸦,Scene Effects,Free
星光变焦,Scene Effects,Free
星星变焦,Scene Effects,Free
曝光变焦,Scene Effects,Free
曝光扩散,Scene Effects,Free
曲线模糊,Scene Effects,Free
极速旋转,Scene Effects,Free
柔和辉光,Scene Effects,Free
梦幻辉光,Scene Effects,Free
模拟拍照,Scene Effects,Free
横向闪光,Scene Effects,Free
横条开幕,Scene Effects,Free
樱花飘落,Scene Effects,Free
欧根纱II,Scene Effects,Free
气球满屏,Scene Effects,Free
气球花花,Scene Effects,Free
氛围边框,Scene Effects,Free
水光影,Scene Effects,Free
水波倒影,Scene Effects,Free
水波模糊,Scene Effects,Free
水波泛起,Scene Effects,Free
水波流动,Scene Effects,Free
水波负片,Scene Effects,Free
水滴扩散,Scene Effects,Free
水雾消散,Scene Effects,Free
油画模糊,Scene Effects,Free
油纸伞,Scene Effects,Free
法式暖调,Scene Effects,Free
法式涂鸦,Scene Effects,Free
泛光扫描,Scene Effects,Free
泛光爆闪,Scene Effects,Free
泛光闪动,Scene Effects,Free
泡泡光斑,Scene Effects,Free
泡泡冲屏,Scene Effects,Free
波动清晰,Scene Effects,Free
波浪,Scene Effects,Free
波浪丝印,Scene Effects,Free
波纹闪动,Scene Effects,Free
流体冲屏,Scene Effects,Free
流体荡开,Scene Effects,Free
流光碎闪,Scene Effects,Free
浪漫烟火,Scene Effects,Free
海报描边,Scene Effects,Free
海鸥DC,Scene Effects,Free
涂鸦vlog,Scene Effects,Free
涂鸦切开,Scene Effects,Free
涂鸦抽帧,Scene Effects,Free
涂鸦拍立得,Scene Effects,Free
液态分离,Scene Effects,Free
滑动打开,Scene Effects,Free
滑动载入,Scene Effects,Free
漂浮爱心,Scene Effects,Free
漏光闪烁,Scene Effects,Free
漫画负片,Scene Effects,Free
潮流涂鸦,Scene Effects,Free
瀑布开幕,Scene Effects,Free
瀑布烟花,Scene Effects,Free
灵异幻觉,Scene Effects,Free
灵魂出窍_II,Scene Effects,Free
灿灿金币,Scene Effects,Free
灿金彩带,Scene Effects,Free
炫光变焦,Scene Effects,Free
炫光扫描,Scene Effects,Free
炸蛇烟花,Scene Effects,Free
烟火星河,Scene Effects,Free
烟花2024,Scene Effects,Free
烟花2025,Scene Effects,Free
烟花光晕,Scene Effects,Free
烟花孔明灯,Scene Effects,Free
烟花字,Scene Effects,Free
热恋,Scene Effects,Free
爆元宝,Scene Effects,Free
爆闪锐化,Scene Effects,Free
爱心下雪,Scene Effects,Free
爱心扫光,Scene Effects,Free
爱心气球,Scene Effects,Free
爱心烟花II,Scene Effects,Free
爱心软糖,Scene Effects,Free
爱心边框,Scene Effects,Free
猫眼迎财,Scene Effects,Free
玫瑰冲屏,Scene Effects,Free
珠光Kira,Scene Effects,Free
珠光碎闪,Scene Effects,Free
琉璃拖影,Scene Effects,Free
电光描边,Scene Effects,Free
电光波动,Scene Effects,Free
电光爆闪,Scene Effects,Free
电光爆闪_II,Scene Effects,Free
电光爱心,Scene Effects,Free
电子复古粉,Scene Effects,Free
电音故障,Scene Effects,Free
画质清晰,Scene Effects,Free
白鸽,Scene Effects,Free
相机抓拍,Scene Effects,Free
相机框抖动,Scene Effects,Free
相片定格,Scene Effects,Free
真爱至上,Scene Effects,Free
矩形闪白,Scene Effects,Free
矩阵频闪,Scene Effects,Free
碎闪描边,Scene Effects,Free
磁带DV,Scene Effects,Free
磨砂水晶,Scene Effects,Free
神龙纳福,Scene Effects,Free
秋日暖阳,Scene Effects,Free
移轴模糊,Scene Effects,Free
竖向开幕,Scene Effects,Free
竖向闪光,Scene Effects,Free
竖线屏闪,Scene Effects,Free
竖闪模糊,Scene Effects,Free
童趣闪电,Scene Effects,Free
粉雪,Scene Effects,Free
粒子放射,Scene Effects,Free
精致辉光,Scene Effects,Free
紫光夜,Scene Effects,Free
繁花棱镜II,Scene Effects,Free
红包来了,Scene Effects,Free
红包转转,Scene Effects,Free
红蓝魔,Scene Effects,Free
红边模糊,Scene Effects,Free
纵向跳动,Scene Effects,Free
纸质抽帧,Scene Effects,Free
线光变速,Scene Effects,Free
绚丽光斑,Scene Effects,Free
缤纷,Scene Effects,Free
缤纷彩带,Scene Effects,Free
缤纷烟花,Scene Effects,Free
缩放运镜,Scene Effects,Free
网点丝印,Scene Effects,Free
群蝶飞舞,Scene Effects,Free
羽毛飘落,Scene Effects,Free
翻转变焦,Scene Effects,Free
翻转开幕,Scene Effects,Free
老式DV,Scene Effects,Free
聚光灯金粉,Scene Effects,Free
聚焦色散,Scene Effects,Free
胶卷,Scene Effects,Free
胶片V,Scene Effects,Free
胶片冷绿,Scene Effects,Free
胶片暖棕,Scene Effects,Free
胶片滚动,Scene Effects,Free
胶片漏光III,Scene Effects,Free
胶片翻转,Scene Effects,Free
胶片边框,Scene Effects,Free
胶片闪切,Scene Effects,Free
脉搏跳动,Scene Effects,Free
腾云驾雾,Scene Effects,Free
色差震闪,Scene Effects,Free
色散冲击,Scene Effects,Free
色散故障,Scene Effects,Free
节奏热成像,Scene Effects,Free
花屏故障,Scene Effects,Free
花屏故障_II,Scene Effects,Free
花瓣环绕,Scene Effects,Free
荧光星河,Scene Effects,Free
菱形光斑,Scene Effects,Free
菱形变焦,Scene Effects,Free
落叶_II,Scene Effects,Free
蓝光爆闪,Scene Effects,Free
蓝色丝印,Scene Effects,Free
虹光旋入,Scene Effects,Free
蛇形走位,Scene Effects,Free
蛇蛇涂鸦,Scene Effects,Free
西海岸涂鸦,Scene Effects,Free
视频播放,Scene Effects,Free
记忆存档,Scene Effects,Free
诡异故障,Scene Effects,Free
负片分屏,Scene Effects,Free
负片描边,Scene Effects,Free
负片涂鸦,Scene Effects,Free
负片涂鸦_II,Scene Effects,Free
负片涂鸦_III,Scene Effects,Free
负片游移,Scene Effects,Free
负片频闪,Scene Effects,Free
负片频闪_II,Scene Effects,Free
贴身粒子,Scene Effects,Free
超大光斑,Scene Effects,Free
超强锐化,Scene Effects,Free
跟随运镜,Scene Effects,Free
跟随运镜_II,Scene Effects,Free
跳色四宫格,Scene Effects,Free
车窗_II,Scene Effects,Free
转运祝福,Scene Effects,Free
轻微故障,Scene Effects,Free
辉光开幕,Scene Effects,Free
边缘扫光,Scene Effects,Free
迎接2025,Scene Effects,Free
迷幻故障,Scene Effects,Free
迷幻荡漾,Scene Effects,Free
迷幻震动,Scene Effects,Free
重复变焦,Scene Effects,Free
重复震闪,Scene Effects,Free
金元宝,Scene Effects,Free
金币掉落,Scene Effects,Free
金粉飘落,Scene Effects,Free
金色碎片,Scene Effects,Free
金色辉光,Scene Effects,Free
金色雪花,Scene Effects,Free
金蛇贺岁,Scene Effects,Free
金边闪烁,Scene Effects,Free
金银珠宝,Scene Effects,Free
金鱼漂浮,Scene Effects,Free
铅笔涂鸦,Scene Effects,Free
银杏飘落,Scene Effects,Free
银蛇缠绕,Scene Effects,Free
闪光弹跳,Scene Effects,Free
闪光灯_II,Scene Effects,Free
闪光灯IV,Scene Effects,Free
闪电扭曲,Scene Effects,Free
闪白_II,Scene Effects,Free
闪粉胶片,Scene Effects,Free
随机闪切,Scene Effects,Free
随机马赛克,Scene Effects,Free
隔行DV,Scene Effects,Free
雨季_I,Scene Effects,Free
雨滴,Scene Effects,Free
雨滴2,Scene Effects,Free
雪花光斑,Scene Effects,Free
雪花变色,Scene Effects,Free
雪花散落,Scene Effects,Free
雪雾,Scene Effects,Free
零帧起手,Scene Effects,Free
雾镜_II,Scene Effects,Free
震动光束,Scene Effects,Free
震动发光,Scene Effects,Free
震动屏闪,Scene Effects,Free
震动扫光,Scene Effects,Free
震动推镜,Scene Effects,Free
震闪渐黑,Scene Effects,Free
霓虹光线,Scene Effects,Free
霓虹闪切,Scene Effects,Free
飞机窗,Scene Effects,Free
马赛克闪切,Scene Effects,Free
高速彩光,Scene Effects,Free
鱼眼_II,Scene Effects,Free
鱼眼_III,Scene Effects,Free
鱼眼_IV,Scene Effects,Free
鱼眼星星,Scene Effects,Free
鱼眼涂鸦,Scene Effects,Free
鱼眼闪电,Scene Effects,Free
黑白胶片,Scene Effects,Free
